case_id,map_size,structure_type,seed,obstacle_rate,grid_sha256,start,goal,optimal_cost,target_cases_per_structure
size500_open_random_seed520280812,500,open_random,520280812,0.4,0cd67a8143eeca6bdcb978cd96a4370bb3a5267ef62afc52110f4ea27326f015,"402,269","485,36",416,50
size500_open_random_seed520280813,500,open_random,520280813,0.1,1280c19415f29a06216ca9daefc8bff0328c3bf760bdf0f5a5b8d23fdb2abfe3,"224,295","140,134",245,50
size500_open_random_seed520280814,500,open_random,520280814,0.2,a00203d9178ce4bf20ae3b8e8c0eff148f150b5b93dd9d393a47a694344c115b,"329,63","18,40",368,50
size500_open_random_seed520280815,500,open_random,520280815,0.3,10b7aa3970ebe3e3180a5de2848d8342ca9cdfa187f0b8b692c1af67fa735e18,"113,326","420,333",400,50
size500_open_random_seed520280816,500,open_random,520280816,0.4,e200de6aff4ab1571b9b175580c1b3a71eae91a374a6949c3f51ba1040a9b30c,"224,243","229,248",10,50
size500_open_random_seed520280817,500,open_random,520280817,0.1,b5c1b51cf95616639d5e3caa8819cdca3613ca2537e07058f4ed4f8069e5d07e,"205,120","148,444",381,50
size500_open_random_seed520280818,500,open_random,520280818,0.2,6f027c158beafe1eb8901c22de3658efdc1d6476c8414850bb296d8ed4698973,"244,237","337,167",163,50
size500_open_random_seed520280819,500,open_random,520280819,0.3,f8df05eafd74c1186efdc29901a9ee023a50d34ce5ab9da59874d08c7fe27b24,"303,438","389,233",301,50
size500_open_random_seed520280820,500,open_random,520280820,0.4,d1969bf0850b7e2cdf20cdfbb9e8d268f3a327bd622c4ae17d4fda5349970f8d,"71,304","89,264",116,50
size500_open_random_seed520280821,500,open_random,520280821,0.1,2cd8fd1d6ff2cf54738b8dd51ba72cfc4681159e4903547ab93a53c144dcd9e7,"51,461","47,237",244,50
size500_open_random_seed520280822,500,open_random,520280822,0.2,55c2e930f74cd5d2f613a5143ef244682981bfa263f29396e5d83f97456abbf2,"183,109","391,404",503,50
size500_open_random_seed520280823,500,open_random,520280823,0.3,dc9bd32f81ab2180a8ae600f33125ab1e8e8af4d10ecf84071933271756b798d,"250,485","409,259",389,50
size500_open_random_seed520280824,500,open_random,520280824,0.4,41cecb5963fbb8ac419b6c140bd413c334670390f1455a130d158a54ad7f8218,"152,234","157,126",355,50
size500_open_random_seed520280825,500,open_random,520280825,0.1,e9388eac8910a39ff125119705f23ed6f9fcf304f94dc8c721f1c59cafaede44,"52,45","59,471",457,50
size500_open_random_seed520280826,500,open_random,520280826,0.2,40b1d781026ae6c6d6466220972c5c8e3cfee1bca909f218371e523b295bbecf,"267,10","391,162",276,50
size500_open_random_seed520280827,500,open_random,520280827,0.3,4a5f595db6076cc77dd0cd4305dd8c9e22f53b4099e164f4a8bdb96f9f85d8e0,"179,159","490,414",574,50
size500_open_random_seed520280828,500,open_random,520280828,0.4,35e709e9acb2b47af77b2a8e6e38933e1c89895ef72da3fb3c9c614e0c907403,"85,102","417,40",1004,50
size500_open_random_seed520280829,500,open_random,520280829,0.1,ad6abbbba2631680ad4b6f2cfb9bc7e6efc65bc5dc1596e61c6dce214f3daf5c,"194,370","34,139",391,50
size500_open_random_seed520280830,500,open_random,520280830,0.2,3b12477bf4c70f12fd015fb4de202089e31283e361c046bacbaaf1b27922657c,"162,214","89,212",83,50
size500_open_random_seed520280831,500,open_random,520280831,0.3,b65f96f49d3063eeb13d920f6021d62160834b87ef19e6d8a7b56575d873c7a4,"113,373","248,260",248,50
size500_open_random_seed520280832,500,open_random,520280832,0.4,2dde3c44978d71372bbe666ff62156539b7dd79d7475e19ebb03b12e732cf894,"381,205","185,337",428,50
size500_open_random_seed520280833,500,open_random,520280833,0.1,dca4f9effd70e93d519eddfbb240063e2f7b00790a92a3700a84b67305d6a330,"269,199","431,10",351,50
size500_open_random_seed520280834,500,open_random,520280834,0.2,5ede88e71c877c80975b37160a5ee6d85b774c28e324f7f1fb1a5dd5757bd204,"195,26","182,14",25,50
size500_open_random_seed520280835,500,open_random,520280835,0.3,c27e6149538d7c2349e0a59c19087d2f6b17fc17199f5e9cb94fe2382d15d2ff,"403,393","75,110",619,50
size500_open_random_seed520280836,500,open_random,520280836,0.4,c0514c1b66aa64e5ce2195684ecfe7709f9f834976d4ec4798a6f3a206be53ca,"223,76","24,34",417,50
size500_open_random_seed520280837,500,open_random,520280837,0.1,739504effdefa1be4fd71ec7a00539f5d0d493a9e48f2a3a2340d0414ed27d18,"8,367","362,298",423,50
size500_open_random_seed520280838,500,open_random,520280838,0.2,69a6a5689cd1886cc51182781a9e1d7013fc396f10a431c6ce7bf7134da1a919,"273,497","399,365",258,50
size500_open_random_seed520280839,500,open_random,520280839,0.3,b8b1bf7fac805fa7f6d731c6353258bbc75154b3c357dbdb72fdfc08f4a57ae9,"406,498","192,192",554,50
size500_open_random_seed520280840,500,open_random,520280840,0.4,2bed6bb50fa2f033bc68dbb655360e0f7bef9691bb5b935c984ca2f905e1f2d0,"74,222","190,385",425,50
size500_open_random_seed520280841,500,open_random,520280841,0.1,c03450e2ac5ac56fdcb126487d0244bf1289d6e872c9f0fb68417d885536788e,"437,25","188,180",404,50
size500_open_random_seed520280842,500,open_random,520280842,0.2,983ce5517c1465c5a43955e125ed92c20b0ae78c0ddb770bc01926f9a939dc35,"117,49","191,193",218,50
size500_open_random_seed520280843,500,open_random,520280843,0.3,037f377b840a64580844e95e9000371dee7fbcef52e3b6b248ee7db51a77b094,"57,443","292,354",366,50
size500_open_random_seed520280844,500,open_random,520280844,0.4,74566000a59a2315e5b5a4b04b402ae71a4cc4930ecfffb800393d80af9d9fc8,"380,202","173,161",546,50
size500_open_random_seed520280845,500,open_random,520280845,0.1,33940bc33b792e3ca134c59f54e51e195c40b2cde24f6b7aa20904c475b12b1a,"392,288","288,33",359,50
size500_open_random_seed520280846,500,open_random,520280846,0.2,485c33cb1a907e947595d802317167030b52a1bd2fc2a9ee85c9bcaa311ad908,"476,420","134,352",426,50
size500_open_random_seed520280847,500,open_random,520280847,0.3,0197593cafcfc660c70799ecd229ebd5889c591081ef51b21e4368bac83b72bb,"466,11","373,99",187,50
size500_open_random_seed520280848,500,open_random,520280848,0.4,d32dfa5e895918fc85cf29bb5beb9e48a83eb4de3ff446f11fb015abe705e123,"371,322","356,88",513,50
size500_open_random_seed520280849,500,open_random,520280849,0.1,1a6a009ae97b1d5d28e37407e085e255aa0ad2c63e0ba1d1b96df8daa1d18873,"360,188","316,234",90,50
size500_open_random_seed520280850,500,open_random,520280850,0.2,90dd74e31a08672fd805c2b0dfdbabb69a421b67545026aa83e27253709cab7e,"114,276","318,318",252,50
size500_maze_like_seed520380801,500,maze_like,520380801,0.1,7d644531fd6a17d021962879c38be2bde00040302ea957f0f9d22098a559998f,"330,376","332,378",4,50
size500_maze_like_seed520380802,500,maze_like,520380802,0.2,1513ea3160d19c595dedd8e58339f29870420aa0148a00bddf1777e478040633,"242,201","243,201",1,50
size500_maze_like_seed520380803,500,maze_like,520380803,0.3,a4eaf5b8d37a7e355610f47ecbd15daa23a9a73e00705ff8ef8cadc115dd5424,"195,353","196,354",2,50
size500_maze_like_seed520380804,500,maze_like,520380804,0.4,ee8903df5a4944da31a540201e3894e264b25ed6aaf3834273502c89de79dde8,"351,329","352,329",1,50
size500_maze_like_seed520380805,500,maze_like,520380805,0.1,a7008f7c072ab76f26d05013bdcadb3417161192054109a9fc02aba7bc830122,"95,221","97,220",3,50
size500_maze_like_seed520380806,500,maze_like,520380806,0.2,fa4d6754cddf6b68cb16f29943600e156444c18c7b68977479a95d9c263044ed,"73,204","73,205",1,50
size500_maze_like_seed520380807,500,maze_like,520380807,0.3,6107e2d995d50dc28cd5053f05f2a5534888a2183b8695c02fe82b03908f874b,"130,265","132,265",2,50
size500_maze_like_seed520380808,500,maze_like,520380808,0.4,2872b4a556cccce3fc92fe84797be1a18bafcb666be4f8c68a583a61a2ed4f32,"57,345","58,344",2,50
size500_maze_like_seed520380809,500,maze_like,520380809,0.1,2cd57b383666279aa234228b722a2ca62f54cc929c238582083bb8a517a9ab1a,"416,120","417,122",3,50
size500_maze_like_seed520380810,500,maze_like,520380810,0.2,e95ba15bd98445d21d97f378e7f62af0695bdc68f37c231e712dff9a59eb7e11,"446,77","448,76",3,50
size500_maze_like_seed520380811,500,maze_like,520380811,0.3,38b331b72826eaf7b607b2249c26358f6e66e956f284dac52ae5984d16ce7b31,"346,106","346,105",1,50
size500_maze_like_seed520380812,500,maze_like,520380812,0.4,b0725fc1a83b96deb8066614489aa3475cdc9393b2820727d82ef825661cfb62,"22,126","21,126",1,50
size500_maze_like_seed520380813,500,maze_like,520380813,0.1,c2696caed53d419798b35097c70d8b43d368fe488881e8ca462bf3ceae28c2b4,"368,120","367,120",1,50
size500_maze_like_seed520380814,500,maze_like,520380814,0.2,4a8ca8a623b58302ad2459039f6b802a704662c207ce6b1d603b0d0a0df92f1f,"153,309","152,310",2,50
size500_maze_like_seed520380815,500,maze_like,520380815,0.3,dfac8643e0481cf9610bf70b4690308f62294394aafff60f8150d6a3eebc048c,"457,49","455,48",3,50
size500_maze_like_seed520380816,500,maze_like,520380816,0.4,2a781a34414177885f1076c110880ce19e8944f058283f8d2d373536dae14085,"245,276","246,278",3,50
size500_maze_like_seed520380817,500,maze_like,520380817,0.1,d0b6c8ca7e5871c0465d2dd104292ce48eaa9c95a5e0b81099402e7ef8cf39c6,"476,436","478,436",2,50
size500_maze_like_seed520380818,500,maze_like,520380818,0.2,6c4a9bee7ff039737a26a6f7159f7ec0c571c8b6d50911d219a4acbb82191df1,"95,478","96,478",1,50
size500_maze_like_seed520380819,500,maze_like,520380819,0.3,0eee0d5e96948bb76c587e20eebd19567d78f6664734c73c9f0212de11207a5b,"321,98","322,96",3,50
size500_maze_like_seed520380820,500,maze_like,520380820,0.4,a94d677a5dc13ba3d4b3983fcb66a9022c51395f3d6ac011a5265122b17ec169,"137,342","136,340",3,50
size500_maze_like_seed520380821,500,maze_like,520380821,0.1,849549b9952735601d94a46e94bf5bd4f93c7f60ad2bd175b1db6a4f6ee17cbf,"213,354","213,352",2,50
size500_maze_like_seed520380822,500,maze_like,520380822,0.2,847549b785769154ba1ec1d26da898d1a021c85b08e54dcbfc0b5bbf016c6422,"156,278","155,276",3,50
size500_maze_like_seed520380823,500,maze_like,520380823,0.3,685284b7d4e72e2c2ad5276e6c3748fa7e2ab3bb88120b5b5982fd659e1d0470,"205,468","206,470",3,50
size500_maze_like_seed520380824,500,maze_like,520380824,0.4,41afc8f7958826b35d28d3cb133d39dc789175888f4959eebd81093b380e8a57,"145,429","147,428",3,50
size500_maze_like_seed520380825,500,maze_like,520380825,0.1,f7b0fb587a49c38136b2d6ed22eafd326d8067597cecfbd55afbf167d2fc293b,"215,78","215,77",1,50
size500_maze_like_seed520380826,500,maze_like,520380826,0.2,06d4b82475b9f98423b27487a58e489ccb48596830fea3697c1298533af0cf82,"253,222","250,222",3,50
size500_maze_like_seed520380827,500,maze_like,520380827,0.3,0d7712f1b463772ed7abf66a2a92f7fe696b4c9b621b4d1ce2ec565f2ba4cfd3,"195,424","198,425",4,50
size500_maze_like_seed520380828,500,maze_like,520380828,0.4,99dff6e664202045b0d5f956523af351ca6ea87276c7ebadf47d3cae679d5064,"237,314","236,314",1,50
size500_maze_like_seed520380829,500,maze_like,520380829,0.1,59cfc245cabb2224c6393bff8057bb53a757bd41b15b8a916335e75b7a53330e,"387,368","387,369",1,50
size500_maze_like_seed520380830,500,maze_like,520380830,0.2,0964af833d6a646ca1294ac29a96646f810a9b87e2ab7e4ef467189d36fdb5c5,"233,414","231,413",3,50
size500_maze_like_seed520380831,500,maze_like,520380831,0.3,69b23d4feeacc9fe2fd7672ce2709efc642d274669a05ff08de7aeae20d05414,"191,88","190,90",3,50
size500_maze_like_seed520380832,500,maze_like,520380832,0.4,07026436f09cb8a0176e7560b67912b8f86947d6e6317cdc74ce60ce7f19e2e7,"153,246","151,246",2,50
size500_maze_like_seed520380833,500,maze_like,520380833,0.1,314b774b29d891a634562acdc71e4a8f4b3a991869a03728f4dde0f89ea53e61,"486,60","486,57",3,50
size500_maze_like_seed520380834,500,maze_like,520380834,0.2,9029a90a653c44f59f2c261ca44e614ac7b52c469bd4ef2f640c26cca3ef4ca7,"220,482","223,480",5,50
size500_maze_like_seed520380835,500,maze_like,520380835,0.3,4039ca87e42e8be3b9b4d15fc0c326401b0e3823975f2ec27dc9df4d781fcd01,"28,146","27,146",1,50
size500_maze_like_seed520380836,500,maze_like,520380836,0.4,3528900102c83352719f374c197668518c75ab16b6ba58036c7deb51dfa6aad2,"187,206","187,205",1,50
size500_maze_like_seed520380837,500,maze_like,520380837,0.1,b5de7381977c10aec946cfdd47aa75656ecf799a2fab05788a88711a3fba5722,"310,464","313,466",5,50
size500_maze_like_seed520380838,500,maze_like,520380838,0.2,c3da4b8ee642c4a56b514e5a3877d243964df0905264edbfb06d41c7ba1ad0be,"37,36","38,38",3,50
size500_maze_like_seed520380839,500,maze_like,520380839,0.3,efdb223d24dc3fd47117ad5d19f18a827fae8158bbaee59c30ae588335b805dc,"345,385","345,384",1,50
size500_maze_like_seed520380840,500,maze_like,520380840,0.4,f793e8bd08c9a3043ca2caabbf35ae46017c787f04b5de18eb6c858c50fa6475,"368,124","368,126",2,50
size500_maze_like_seed520380841,500,maze_like,520380841,0.1,770581491c8307d027283b4d8d110ebd3a096f10fc58529127e0b12de818533d,"26,341","25,340",2,50
size500_maze_like_seed520380842,500,maze_like,520380842,0.2,1928c43be2de48fe554088084d476b4ac40d556d8f9a51a99fc0c92155b49c6c,"87,157","86,156",2,50
size500_maze_like_seed520380843,500,maze_like,520380843,0.3,15be17464fd3c60f947fd5763ef6cf03d223f72be334e766a3add5794bf1b74c,"77,245","77,244",1,50
size500_maze_like_seed520380844,500,maze_like,520380844,0.4,e74cb3f3a7c51f2148de45631507590fb2245bdf5c54afeeba44439ea4ab2147,"176,56","175,57",2,50
size500_maze_like_seed520380845,500,maze_like,520380845,0.1,354f925f9d915298e74a91dd2c157c0f6bba083058314e9794476a38705ffdb0,"230,330","232,328",4,50
size500_maze_like_seed520380846,500,maze_like,520380846,0.2,739d2d1e0623af7ef9105e1dc87bca1ebf1b7f66a9c0d188280ce692dc1069cf,"73,170","70,170",3,50
size500_maze_like_seed520380847,500,maze_like,520380847,0.3,ea72e37c38fff3e6646ead9f7e5a31f9aeea2d2c624df94fd85f3357b9617c42,"17,356","18,358",3,50
size500_maze_like_seed520380848,500,maze_like,520380848,0.4,b548432176088ec6d06794455bd0ed11ab463dfdea93448a95c318d9329f1089,"316,74","317,72",3,50
size500_maze_like_seed520380849,500,maze_like,520380849,0.1,1bcee33d0a43cf949c11cd94a393afb9d5df8cbd0200bed68cf707da79ccc4f1,"237,408","235,409",3,50
size500_maze_like_seed520380850,500,maze_like,520380850,0.2,6d3e04d6ddefb950075950b4848c447669544358a43e0752080bec9886e9dcc3,"373,340","371,341",3,50
size500_bottleneck_seed520480801,500,bottleneck,520480801,0.1,2a2ebda916801e075ecd9b37a71cf72fc4760e9bc481b0cb8da241d3d2d3617c,"9,257","316,71",655,50
size500_bottleneck_seed520480802,500,bottleneck,520480802,0.2,450fde77b7825ff5a9f3e6e3c83795a29b0fe1c377186e15d9e92dcd6b124a72,"28,225","375,180",392,50
size500_bottleneck_seed520480803,500,bottleneck,520480803,0.3,d8ca538baa33b8933714fb40a8df23f3d3b6d6547e458cdf66d65cc35be3b8ae,"489,170","376,162",121,50
size500_bottleneck_seed520480804,500,bottleneck,520480804,0.4,81e9cf823f63133f0282347827080db0816488a6c178a78ce61d09ec13600574,"324,398","325,486",89,50
size500_bottleneck_seed520480805,500,bottleneck,520480805,0.1,caf4531d0afa833a1ed2baabfbd6139aea906fb92768977da39a59eadfcccbec,"296,70","321,453",842,50
size500_bottleneck_seed520480806,500,bottleneck,520480806,0.2,5f93277831c21dddfd5048d30ee3467a370d08791ecad1702466d9d517c3da77,"107,255","211,20",339,50
size500_bottleneck_seed520480807,500,bottleneck,520480807,0.3,5cd5132cee564bab432b1b47443ca001945554e8c621a9350ee805c9f604ad2e,"314,79","432,336",809,50
size500_bottleneck_seed520480808,500,bottleneck,520480808,0.4,461be348b0e6b1d50feacb1af258e8d3b38831733babdffc258399f7cecc0158,"241,469","107,248",779,50
size500_bottleneck_seed520480809,500,bottleneck,520480809,0.1,4f7c0cad89a23b4e72f17e884de3338ce92854ca02b6aed3e4c69010f7c43e50,"115,54","205,372",408,50
size500_bottleneck_seed520480810,500,bottleneck,520480810,0.2,999f2cd8f056a65f31be1d9e3956d3e0cae6216e118309fcf212023d72fa2b06,"270,251","15,175",333,50
size500_bottleneck_seed520480811,500,bottleneck,520480811,0.3,6f37b92ac9a3537168c3a64c5959d52f8264418d10417e3b34517337358370a1,"338,392","462,40",1052,50
size500_bottleneck_seed520480812,500,bottleneck,520480812,0.4,0df1d0167dc2856a565957ec0fea2e9035bddc80d4ad19859649ef1e577be50e,"108,189","65,161",71,50
size500_bottleneck_seed520480813,500,bottleneck,520480813,0.1,6722773305b24112696a2cc8c0d5103b2f454dea64ba483c4322fd0e3294ba43,"450,33","159,468",1012,50
size500_bottleneck_seed520480814,500,bottleneck,520480814,0.2,1053843634d4ce2bc314e2374ec522a5df1f6a5b92f87c3c455c4b2e7355b024,"155,187","282,160",154,50
size500_bottleneck_seed520480815,500,bottleneck,520480815,0.3,8cbbd3284dbd42a1ec58035d711dee521c1bf26944c4d1958d2a46d1a677659d,"378,376","265,209",696,50
size500_bottleneck_seed520480816,500,bottleneck,520480816,0.4,bd0f92a43efa4f29218204612ebe8ed95a0b36c626ff04f188c2024d3aa930a9,"69,236","143,384",360,50
size500_bottleneck_seed520480817,500,bottleneck,520480817,0.1,829ae516201a3757231302c813fd4302cc38232ae635202775dedef1c30a0263,"37,141","405,45",464,50
size500_bottleneck_seed520480818,500,bottleneck,520480818,0.2,03a65723dd317e582fb058a8a690fbcac1996b0e85d80136fce0fa8fc3038fdb,"376,155","464,351",454,50
size500_bottleneck_seed520480819,500,bottleneck,520480819,0.3,14f2d4c6b9c79b01328091f43715b4efa408e93a119dec32db1857b48dfce940,"163,91","355,391",816,50
size500_bottleneck_seed520480820,500,bottleneck,520480820,0.4,df7b1764eb06552edfa8748efce8b1dfd20422e20e86be8f010161f75332d326,"160,353","192,139",690,50
size500_bottleneck_seed520480821,500,bottleneck,520480821,0.1,c972f64a8a3b086064f5fce89501d6851c844dd1dc6247fa536eaa3bf5cfab7a,"351,402","120,496",325,50
size500_bottleneck_seed520480822,500,bottleneck,520480822,0.2,cd0a801b02f0a72c151c7513b13a8af908e7cc87ff1ce445498b14e61155175c,"115,120","346,86",265,50
size500_bottleneck_seed520480823,500,bottleneck,520480823,0.3,9489a4679b213cc6565d1027382bb7a1963be4c664906d55d7fd112f146b220b,"45,362","163,49",463,50
size500_bottleneck_seed520480824,500,bottleneck,520480824,0.4,867d5898ad1ed47fd71ba718e5b56eb8b8eee81cd1a1662e00b4d11ee71350da,"91,121","478,125",395,50
size500_bottleneck_seed520480825,500,bottleneck,520480825,0.1,e1dea89f9721e026a24de09f2c2d3f66e4832878789ad77a5059132c3a236b4a,"132,107","199,140",100,50
size500_bottleneck_seed520480826,500,bottleneck,520480826,0.2,a1eac6fad231573b197331e975645025c72a49634fbc0b32d3203769b63675d2,"88,365","191,157",691,50
size500_bottleneck_seed520480827,500,bottleneck,520480827,0.3,11d5e02a795fc6791d6056d28d62deeac37df88151ba091e2df83d21249eb5d8,"224,6","364,143",277,50
size500_bottleneck_seed520480828,500,bottleneck,520480828,0.4,8461fa8895b9b5bfa110a3e769d0504a47b4497972d93fb80aa18377deb6c137,"231,288","187,272",60,50
size500_bottleneck_seed520480829,500,bottleneck,520480829,0.1,5f2d2ef139a2c44fe880caa83460822d44a12d9dc40be6af0fb3cebf0f8d944d,"170,418","276,254",270,50
size500_bottleneck_seed520480830,500,bottleneck,520480830,0.2,99bf295879e5668ca21c3890516b211cc3f609a41f9033c986d010375d028e26,"333,394","447,90",418,50
size500_bottleneck_seed520480831,500,bottleneck,520480831,0.3,7490a16cb372b32ac355445afc9e9cbc408b248c146cac951232170b4996f3f5,"486,147","164,368",567,50
size500_bottleneck_seed520480832,500,bottleneck,520480832,0.4,8f4161b9800f671105e1e1cc7e442d537a73ac2db9bc4d2eb349fe62dacff8a8,"432,230","289,114",259,50
size500_bottleneck_seed520480833,500,bottleneck,520480833,0.1,f2bc882440ec50b0cd6ccdc5b367c5f5b1b2ea1bfe413c0405107b921b23a52a,"208,0","307,429",542,50
size500_bottleneck_seed520480834,500,bottleneck,520480834,0.2,938368aab2e90989f5f169d8da1947185c7828ac7eadfefad7e325039f2bf0c4,"165,123","179,194",85,50
size500_bottleneck_seed520480835,500,bottleneck,520480835,0.3,117dfece154ae288c97bd909fa7713dcbb108e2799e006f938b90856fb50cb73,"78,283","414,293",346,50
size500_bottleneck_seed520480836,500,bottleneck,520480836,0.4,88b047ec142a11170233fe96929f54517f2b8033d63d6ad8aaecbbeb3b6ca581,"140,359","199,432",132,50
size500_bottleneck_seed520480837,500,bottleneck,520480837,0.1,39ba1828244b8b99fa090e9c4ac1a9008f17737cdd7eebfd2984c61c3b6f4c4c,"86,88","325,138",289,50
size500_bottleneck_seed520480838,500,bottleneck,520480838,0.2,67b0045a5a24280c15fb6a3a2c683c81a318c1a36261c8beac59ae6a1a489eb8,"164,32","376,26",220,50
size500_bottleneck_seed520480839,500,bottleneck,520480839,0.3,dafa8e59a770f195c8c03a337aef8215c8a4333b114c5d6bd0208aafc7d29f25,"436,472","120,306",482,50
size500_bottleneck_seed520480840,500,bottleneck,520480840,0.4,78c18a637ae3e439cdc9c341004cbce1673b356c2cd1f0fd698779f87965d5fc,"154,411","286,104",503,50
size500_bottleneck_seed520480841,500,bottleneck,520480841,0.1,b54358d8f6ea7b654d950c860df0b446f1fd69eea0eadb657a25c78e20a55a70,"344,490","169,326",339,50
size500_bottleneck_seed520480842,500,bottleneck,520480842,0.2,9f9fbf89489a3f9ae228f4a05a96f9181800bb5c88441426133ebe0dd273addf,"191,399","404,150",736,50
size500_bottleneck_seed520480843,500,bottleneck,520480843,0.3,046930698e68a1ee3d1502118bda8421843db27a54d4a52f5f18e3a546978ad0,"148,383","231,479",179,50
size500_bottleneck_seed520480844,500,bottleneck,520480844,0.4,205651cec8348cdd1720b76e14d5e2873caff7487eb0e76e0303830af4a675a5,"221,300","50,67",496,50
size500_bottleneck_seed520480845,500,bottleneck,520480845,0.1,c52af2df18812da89ec84cb5fd524f80116fe1a678321ed10eb6c03a591c58f0,"481,279","197,122",501,50
size500_bottleneck_seed520480846,500,bottleneck,520480846,0.2,2cfee9c603efb05cc35d4e1b3406a5058a152365bec25d1ddaf276128dfd0f8b,"201,165","198,109",59,50
size500_bottleneck_seed520480847,500,bottleneck,520480847,0.3,65bf46047e043fc03027402cca509c7619a8746925665d42c7c7407aae4d54ff,"370,4","372,84",82,50
size500_bottleneck_seed520480848,500,bottleneck,520480848,0.4,0e1a17db57d26827ff9145ffd82b0e8feae9779b25358556534bba54787a33c1,"59,95","206,332",776,50
size500_bottleneck_seed520480849,500,bottleneck,520480849,0.1,f38e32756332f9cf8046209865883e02bd4d1b48b36af0c9c990e4eaee3957d1,"51,291","190,453",301,50
size500_bottleneck_seed520480850,500,bottleneck,520480850,0.2,15586d0c3a43e4a479a9af868df783dcb50a3a040a896ec80d4fa2862eb9027c,"400,26","105,145",414,50
size500_large_block_seed520580801,500,large_block,520580801,0.1,6a9b1728f21d6c130a9282834e97a0e889306a22a7d312d221a926df3b394003,"335,433","169,292",307,50
size500_large_block_seed520580802,500,large_block,520580802,0.2,d3053c7758d955cc006e4792d2f072adccd2151a0a986c0df8c6085a4bc72022,"109,59","410,67",309,50
size500_large_block_seed520580803,500,large_block,520580803,0.3,edf1013aa63c3c58f59946304b83a64b1c02b5e12de7aa10322239cdacae3fa5,"142,398","5,233",302,50
size500_large_block_seed520580804,500,large_block,520580804,0.4,48fcb490ea159de0f0b0982eff0218260d57baa7b8f9a73d9a52f06c4c0abfed,"241,237","192,421",233,50
size500_large_block_seed520580805,500,large_block,520580805,0.1,7981d59d7216cb0bcc45c51405a94087cdd84f7783a1f94725d6e73bdba359ff,"306,75","196,324",359,50
size500_large_block_seed520580806,500,large_block,520580806,0.2,ef129eb95225135cef34a358108aa9b32bf2433bfc7ba17c8dc1ea999917e553,"118,356","405,64",579,50
size500_large_block_seed520580807,500,large_block,520580807,0.3,0792ed0e90a372acdff6873342cf7b59ede0a00f30f5ece0353809413542b9e3,"375,418","478,285",236,50
size500_large_block_seed520580808,500,large_block,520580808,0.4,fee6829b35bb9e34e82af75b55465fecd36d74b0b933e1e9897e7be1b00f28d9,"457,124","402,215",356,50
size500_large_block_seed520580809,500,large_block,520580809,0.1,d7a4f0d12e0e1776f09c8e108918ab0ff3fe134017aea774209981199cbd85a4,"46,36","152,143",213,50
size500_large_block_seed520580810,500,large_block,520580810,0.2,3a0912682d0d6142e293d16b40c57e4b3fc3d8b89f590f9fb7baffb37b71e9c0,"442,433","469,405",55,50
size500_large_block_seed520580811,500,large_block,520580811,0.3,effd7cb06fd0793fc62797b75e7c2c49e0f438ba2655b47b5f10d1a8c5b0fd18,"407,158","311,477",415,50
size500_large_block_seed520580812,500,large_block,520580812,0.4,15d59ad19e551ca2c47f53e9833352bf623d487b1e05547e2fcd2e85054e4f03,"26,170","53,127",70,50
size500_large_block_seed520580813,500,large_block,520580813,0.1,f920a4e6762db3b480b2878c93b75505ec94cbb0f3b83c828883d092138b9fb0,"396,430","492,38",488,50
size500_large_block_seed520580814,500,large_block,520580814,0.2,ca494e06d10e2cad1cee1a44dd7f033c13d334a5996e754c79635482e6d46c7c,"492,435","393,159",375,50
